,Source,SourcePOS,SourceDep,Target,TargetPOS,TargetDep
86,"Involve people When talking remain eye contact but not with one person ( that can make people feel pressured ) make yourself seem relatable use points from your own life , and if your putting across your own opinion , involve other peoples opinion .","['VB', 'NNS']","[('root', 0), ('obj', 1)]","When talking remain eye contact but not with one person ( that can make people feel pressured ) make yourself seem relatable use points from your own life , and if your putting across your own opinion , involve other peoples opinion .","['WRB', 'VBG', 'VBP', 'NN', 'NN', 'CC', 'RB', 'IN', 'CD', 'NN', '-LRB-', 'WDT', 'MD', 'VB', 'NNS', 'VB', 'VBN', '-RRB-', 'VB', 'PRP', 'VB', 'JJ', 'NN', 'NNS', 'IN', 'PRP$', 'JJ', 'NN', ',', 'CC', 'IN', 'PRP$', 'NN', 'IN', 'PRP$', 'JJ', 'NN', ',', 'VB', 'JJ', 'NNS', 'NN', '.']","[('mark', 2), ('advcl', 3), ('advcl', 19), ('compound', 5), ('xcomp', 3), ('cc', 19), ('cc', 10), ('case', 10), ('nummod', 10), ('conj', 5), ('punct', 14), ('nsubj', 14), ('aux', 14), ('parataxis', 10), ('obj', 14), ('xcomp', 14), ('xcomp', 16), ('punct', 14), ('root', 0), ('obj', 19), ('xcomp', 19), ('amod', 24), ('compound', 24), ('obj', 21), ('case', 28), ('nmod:poss', 28), ('amod', 28), ('obl', 21), ('punct', 39), ('cc', 39), ('mark', 33), ('nmod:poss', 33), ('nsubj', 39), ('case', 37), ('nmod:poss', 37), ('amod', 37), ('nmod', 33), ('punct', 39), ('conj', 19), ('amod', 42), ('compound', 42), ('obj', 39), ('punct', 19)]"
87,Keep treats for special occasions .,"['VB', 'NNS', 'IN', 'JJ', 'NNS', '.']","[('root', 0), ('obj', 1), ('case', 5), ('amod', 5), ('obl', 1), ('punct', 1)]",Reserve treats for special occasions .,"['NN', 'NNS', 'IN', 'JJ', 'NNS', '.']","[('compound', 2), ('root', 0), ('case', 5), ('amod', 5), ('nmod', 2), ('punct', 2)]"
88,Eat more fruits and vegetables .,"['VB', 'JJR', 'NNS', 'CC', 'NNS', '.']","[('root', 0), ('amod', 3), ('obj', 1), ('cc', 5), ('conj', 3), ('punct', 1)]",How to Eat Healthy,"['WRB', 'TO', 'VB', 'JJ']","[('advmod', 3), ('mark', 3), ('root', 0), ('xcomp', 3)]"
89,"Unbeknown to naive buyers , the vibrant color of Type C stones will soon fade .","['VB', 'IN', 'JJ', 'NNS', ',', 'DT', 'JJ', 'NN', 'IN', 'NN', 'NN', 'NNS', 'MD', 'RB', 'VB', '.']","[('root', 0), ('case', 4), ('amod', 4), ('obl', 1), ('punct', 1), ('det', 8), ('amod', 8), ('nsubj', 15), ('case', 12), ('compound', 11), ('compound', 12), ('nmod', 8), ('aux', 15), ('advmod', 15), ('parataxis', 1), ('punct', 1)]","Unknown to naive buyers , the vibrant color of Type C stones will soon fade .","['JJ', 'IN', 'JJ', 'NNS', ',', 'DT', 'JJ', 'NN', 'IN', 'NN', 'NN', 'NNS', 'MD', 'RB', 'VB', '.']","[('advmod', 15), ('case', 4), ('amod', 4), ('obl', 1), ('punct', 15), ('det', 8), ('amod', 8), ('nsubj', 15), ('case', 12), ('compound', 11), ('compound', 12), ('nmod', 8), ('aux', 15), ('advmod', 15), ('root', 0), ('punct', 15)]"
90,"Download and install "" Psiphon "" for your device , run it and then enjoy the taste of pure internet .","['VB', 'CC', 'VB', '``', 'NN', ""''"", 'IN', 'PRP$', 'NN', ',', 'VB', 'PRP', 'CC', 'RB', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', '.']","[('root', 0), ('cc', 3), ('conj', 1), ('punct', 5), ('obj', 3), ('punct', 5), ('case', 9), ('nmod:poss', 9), ('obl', 1), ('punct', 11), ('conj', 1), ('obj', 11), ('cc', 15), ('advmod', 15), ('conj', 1), ('det', 17), ('obj', 15), ('case', 20), ('amod', 20), ('nmod', 17), ('punct', 1)]","Just search for it , download it , run it and then enjoy the taste of pure internet .","['RB', 'VB', 'IN', 'PRP', ',', 'VB', 'PRP', ',', 'VB', 'PRP', 'CC', 'RB', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', '.']","[('advmod', 2), ('root', 0), ('case', 4), ('obl', 2), ('punct', 6), ('conj', 2), ('obj', 6), ('punct', 9), ('conj', 2), ('obj', 9), ('cc', 13), ('advmod', 13), ('conj', 2), ('det', 15), ('obj', 13), ('case', 18), ('amod', 18), ('nmod', 15), ('punct', 2)]"
91,Skip Internet Filtering in Iran,"['VB', 'NN', 'NN', 'IN', 'NNP']","[('root', 0), ('compound', 3), ('obj', 1), ('case', 5), ('obl', 1)]",Bypass Internet Filtering in Iran,"['NN', 'NN', 'NN', 'IN', 'NNP']","[('compound', 3), ('compound', 3), ('root', 0), ('case', 5), ('nmod', 3)]"
92,Use this as an opportunity to spend time with new people who may turn into close friends .,"['VB', 'DT', 'IN', 'DT', 'NN', 'TO', 'VB', 'NN', 'IN', 'JJ', 'NNS', 'WP', 'MD', 'VB', 'IN', 'JJ', 'NNS', '.']","[('root', 0), ('obj', 1), ('case', 5), ('det', 5), ('obl', 1), ('mark', 7), ('acl', 5), ('obj', 7), ('case', 11), ('amod', 11), ('nmod', 8), ('nsubj', 14), ('aux', 14), ('acl:relcl', 11), ('case', 17), ('amod', 17), ('obl', 14), ('punct', 1)]",Now you have an opening for spending time with new people who may turn into close friends .,"['RB', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'NN', 'NN', 'IN', 'JJ', 'NNS', 'WP', 'MD', 'VB', 'IN', 'JJ', 'NNS', '.']","[('advmod', 3), ('nsubj', 3), ('root', 0), ('det', 5), ('obj', 3), ('case', 8), ('compound', 8), ('nmod', 5), ('case', 11), ('amod', 11), ('nmod', 8), ('nsubj', 14), ('aux', 14), ('acl:relcl', 11), ('case', 17), ('amod', 17), ('obl', 14), ('punct', 3)]"
93,"Whisper John Jacob Jinglehimer Smith his name is my name too , when ever we go out , the people always shout , there goes John Jacob Jinglehimer Smith .","['VB', 'NNP', 'NNP', 'NNP']","[('root', 0), ('obj', 1), ('flat', 2), ('flat', 2)]","Whisper "" John Jacob Jinglehimer Smith his name is my name too , when ever we go out , the people always shout , there goes John Jacob Jinglehimer Smith .","['NNP', ""''"", 'NNP', 'NNP', 'NNP']","[('compound', 3), ('punct', 3), ('root', 0), ('flat', 3), ('flat', 3)]"
94,"Name it , If its brown you could name it coacoa or if it Likes anything like toys you can name it that .","['VB', 'PRP', ',', 'IN', 'PRP', 'VBZ', 'JJ', 'PRP', 'MD', 'VB', 'PRP', 'RB', 'CC', 'IN', 'PRP', 'VBZ', 'NN', 'IN', 'NNS', 'PRP', 'MD', 'VB', 'PRP', 'DT', '.']","[('root', 0), ('obj', 1), ('punct', 1), ('mark', 7), ('nsubj', 7), ('cop', 7), ('advcl', 10), ('nsubj', 10), ('aux', 10), ('parataxis', 1), ('obj', 10), ('advmod', 10), ('cc', 22), ('mark', 16), ('nsubj', 16), ('advcl', 22), ('obj', 16), ('case', 19), ('nmod', 17), ('nsubj', 22), ('aux', 22), ('conj', 1), ('obj', 22), ('obj', 22), ('punct', 1)]","If it 's brown , you could name it cocoa or if it Likes anything like toys you can name it that .","['IN', 'PRP', 'VBZ', 'JJ', ',', 'PRP', 'MD', 'VB', 'PRP', 'NN', 'CC', 'IN', 'PRP', 'VBZ', 'NN', 'IN', 'NNS', 'PRP', 'MD', 'VB', 'PRP', 'DT', '.']","[('mark', 4), ('nsubj', 4), ('cop', 4), ('advcl', 8), ('punct', 8), ('nsubj', 8), ('aux', 8), ('root', 0), ('obj', 8), ('obj', 8), ('cc', 20), ('mark', 14), ('nsubj', 14), ('advcl', 20), ('obj', 14), ('case', 17), ('nmod', 15), ('nsubj', 20), ('aux', 20), ('conj', 8), ('obj', 20), ('obj', 20), ('punct', 8)]"
95,"Go to View > Show Page Tiling , then you 'll got 2 page .","['VB', 'IN', 'NN', '-RRB-']","[('root', 0), ('case', 3), ('obl', 1), ('punct', 1)]","To get your second page , go to View > Show Page Tiling .","['TO', 'VB', 'PRP$', 'JJ', 'NN', ',', 'VB', 'IN', 'NN', '-RRB-']","[('mark', 2), ('advcl', 7), ('nmod:poss', 5), ('amod', 5), ('obj', 2), ('punct', 7), ('root', 0), ('case', 9), ('obl', 7), ('punct', 7)]"
96,"Make-up : Quinn wears a bit of make-up , but subtly so .","['VB', 'HYPH', 'RP', ':']","[('root', 0), ('punct', 1), ('compound:prt', 1), ('punct', 1)]","Quinn wears a bit of make-up , but subtly so .","['NNP', 'VBZ', 'DT', 'NN', 'IN', 'VB', 'HYPH', 'RP', ',', 'CC', 'RB', 'RB', '.']","[('nsubj', 2), ('root', 0), ('det', 4), ('obj', 2), ('mark', 6), ('acl', 4), ('punct', 6), ('compound:prt', 6), ('punct', 12), ('cc', 12), ('advmod', 12), ('conj', 6), ('punct', 2)]"
97,Plan what you can do if you begin to feel uncomfortable and discuss when pornography becomes a serious problem for you .,"['VB', 'WP', 'PRP', 'MD', 'VB', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'JJ', 'CC', 'VB', 'WRB', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'PRP', '.']","[('root', 0), ('obj', 5), ('nsubj', 5), ('aux', 5), ('ccomp', 1), ('mark', 8), ('nsubj', 8), ('advcl', 5), ('mark', 10), ('xcomp', 8), ('xcomp', 10), ('cc', 13), ('conj', 10), ('mark', 16), ('nsubj', 16), ('advcl', 13), ('det', 19), ('amod', 19), ('xcomp', 16), ('case', 21), ('nmod', 19), ('punct', 1)]",A counselor can help you see one anther 's point of view and understand each other 's needs better .,"['DT', 'NN', 'MD', 'VB', 'PRP', 'VB', 'CD', 'NN', 'POS', 'NN', 'IN', 'NN', 'CC', 'VB', 'DT', 'JJ', 'POS', 'NNS', 'JJR', '.']","[('det', 2), ('nsubj', 4), ('aux', 4), ('root', 0), ('obj', 4), ('xcomp', 4), ('nummod', 8), ('nmod:poss', 10), ('case', 8), ('obj', 6), ('case', 12), ('nmod', 10), ('cc', 14), ('conj', 6), ('det', 16), ('nmod:poss', 18), ('case', 16), ('obj', 14), ('xcomp', 14), ('punct', 4)]"
98,Apply for the job when you see an ad in the newspaper looking for carriers .,"['VB', 'IN', 'DT', 'NN', 'WRB', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBG', 'IN', 'NNS', '.']","[('root', 0), ('case', 4), ('det', 4), ('obl', 1), ('mark', 7), ('nsubj', 7), ('advcl', 1), ('det', 9), ('obj', 7), ('case', 12), ('det', 12), ('nmod', 9), ('advcl', 7), ('case', 15), ('obl', 13), ('punct', 1)]",Sometimes the first job is as a of paper boy also called a newspaper carrier .,"['RB', 'DT', 'JJ', 'NN', 'VBZ', 'IN', 'DT', 'IN', 'NN', 'NN', 'RB', 'VBD', 'DT', 'NN', 'NN', '.']","[('advmod', 12), ('det', 4), ('amod', 4), ('nsubj', 12), ('cop', 12), ('case', 10), ('det', 10), ('case', 10), ('compound', 10), ('nmod', 4), ('advmod', 12), ('root', 0), ('det', 15), ('compound', 15), ('obj', 12), ('punct', 12)]"
99,Check if any of these adjectives apply to you :,"['VB', 'IN', 'DT', 'IN', 'DT', 'NNS', 'VBP', 'IN', 'PRP', ':']","[('root', 0), ('mark', 7), ('nsubj', 7), ('case', 6), ('det', 6), ('nmod', 3), ('advcl', 1), ('case', 9), ('obl', 7), ('punct', 1)]","Also , Check if any of these adjectives apply to you :","['RB', ',', 'VB', 'IN', 'DT', 'IN', 'DT', 'NNS', 'VBP', 'IN', 'PRP', ':']","[('advmod', 3), ('punct', 3), ('root', 0), ('mark', 9), ('nsubj', 9), ('case', 8), ('det', 8), ('nmod', 5), ('advcl', 3), ('case', 11), ('obl', 9), ('punct', 3)]"
100,Figure skating skates are meant to be tight fitting to increase stability while skating .,"['VB', 'NN', 'NNS', 'VBP', 'VBN', 'TO', 'VB', 'JJ', 'VBG', 'TO', 'VB', 'NN', 'IN', 'NN', '.']","[('root', 0), ('compound', 3), ('nsubj:pass', 5), ('aux:pass', 5), ('ccomp', 1), ('mark', 8), ('cop', 8), ('xcomp', 5), ('advcl', 8), ('mark', 11), ('xcomp', 9), ('obj', 11), ('mark', 14), ('advcl', 11), ('punct', 1)]",Figure skates are meant to fit quite tightly to increase stability while skating .,"['NN', 'NNS', 'VBP', 'VBN', 'TO', 'VB', 'RB', 'RB', 'TO', 'VB', 'NN', 'IN', 'VBG', '.']","[('compound', 2), ('nsubj:pass', 4), ('aux:pass', 4), ('root', 0), ('mark', 6), ('xcomp', 4), ('advmod', 8), ('advmod', 6), ('mark', 10), ('advcl', 6), ('obj', 10), ('mark', 13), ('advcl', 10), ('punct', 4)]"
101,Lie about your age if your 29 or over say your 29 ! be offended when people think ( or know ) your over 30 .,"['VB', 'IN', 'PRP$', 'NN', 'IN', 'PRP$', 'CD', 'CC', 'RB', 'VBP', 'PRP$', 'CD', '.']","[('root', 0), ('case', 4), ('nmod:poss', 4), ('obl', 1), ('mark', 10), ('nmod:poss', 7), ('nsubj', 10), ('cc', 9), ('conj', 7), ('advcl', 1), ('nmod:poss', 12), ('obj', 10), ('punct', 1)]","If you 're 29 or over , say you 're 29 ! Be VERY offended when people think ( or know ) you 're over 30 .","['IN', 'PRP', 'VBP', 'CD', 'CC', 'RB', ',', 'VB', 'PRP', 'VBP', 'CD', '.']","[('mark', 4), ('nsubj', 4), ('cop', 4), ('advcl', 8), ('cc', 6), ('conj', 4), ('punct', 8), ('root', 0), ('nsubj', 11), ('cop', 11), ('ccomp', 8), ('punct', 8)]"
102,Add a website to the block list .,"['VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', '.']","[('root', 0), ('det', 3), ('obj', 1), ('case', 7), ('det', 7), ('compound', 7), ('obl', 1), ('punct', 1)]",This adds the website to the block list .,"['DT', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', '.']","[('nsubj', 2), ('root', 0), ('det', 4), ('obj', 2), ('case', 8), ('det', 8), ('compound', 8), ('nmod', 4), ('punct', 2)]"
103,Notify your agent or broker that you plan to withdraw from the contract .,"['VB', 'PRP$', 'NN', 'CC', 'NN', 'WDT', 'PRP', 'VBP', 'TO', 'VB', 'IN', 'DT', 'NN', '.']","[('root', 0), ('nmod:poss', 3), ('obj', 1), ('cc', 5), ('conj', 3), ('obj', 8), ('nsubj', 8), ('acl:relcl', 3), ('mark', 10), ('xcomp', 8), ('case', 13), ('det', 13), ('obl', 10), ('punct', 1)]",Immediately notify your agent or broker that you plan to withdraw from the contract .,"['RB', 'VB', 'PRP$', 'NN', 'CC', 'NN', 'WDT', 'PRP', 'VBP', 'TO', 'VB', 'IN', 'DT', 'NN', '.']","[('advmod', 2), ('root', 0), ('nmod:poss', 4), ('obj', 2), ('cc', 6), ('conj', 4), ('obj', 9), ('nsubj', 9), ('acl:relcl', 4), ('mark', 11), ('xcomp', 9), ('case', 14), ('det', 14), ('obl', 11), ('punct', 2)]"
104,STAY CALM It 's only an argument and it happens in all families .,"['VB', 'JJ']","[('root', 0), ('xcomp', 1)]","It 's only an argument , and it happens in all families .","['PRP', 'VBZ', 'RB', 'DT', 'NN', ',', 'CC', 'PRP', 'VBZ', 'IN', 'DT', 'NNS', '.']","[('nsubj', 5), ('cop', 5), ('advmod', 5), ('det', 5), ('root', 0), ('punct', 9), ('cc', 9), ('nsubj', 9), ('conj', 5), ('case', 12), ('det', 12), ('obl', 9), ('punct', 5)]"
105,"Paint the boards a darker gray and wipe the excess away immediately with a rag , leaving the scratched and dented and grooved areas darker , but the main surface lighter .","['VB', 'DT', 'NNS', 'DT', 'JJR', 'NN', 'CC', 'VB', 'DT', 'NN', 'RB', 'RB', 'IN', 'DT', 'NN', ',', 'VBG', 'DT', 'VBN', 'CC', 'VBN', 'CC', 'VBN', 'NNS', 'JJR', ',', 'CC', 'DT', 'JJ', 'NN', 'JJR', '.']","[('root', 0), ('det', 3), ('iobj', 1), ('det', 6), ('amod', 6), ('obj', 1), ('cc', 8), ('conj', 1), ('det', 10), ('obj', 8), ('advmod', 8), ('advmod', 8), ('case', 15), ('det', 15), ('obl', 8), ('punct', 8), ('advcl', 8), ('det', 24), ('amod', 24), ('cc', 21), ('conj', 19), ('cc', 23), ('conj', 19), ('obj', 17), ('xcomp', 17), ('punct', 31), ('cc', 31), ('det', 30), ('amod', 30), ('nsubj', 31), ('conj', 25), ('punct', 1)]","Re-Paint the boards a darker gray and wipe the excess away immediately with a rag , leaving the scratched and dented and grooved areas darker , but the main surface lighter .","['IN', ',', 'VB', 'DT', 'NNS', 'DT', 'JJR', 'NN', 'CC', 'VB', 'DT', 'NN', 'RB', 'RB', 'IN', 'DT', 'NN', ',', 'VBG', 'DT', 'VBN', 'CC', 'VBN', 'CC', 'VBN', 'NNS', 'JJR', ',', 'CC', 'DT', 'JJ', 'NN', 'JJR', '.']","[('mark', 3), ('punct', 3), ('root', 0), ('det', 5), ('obj', 3), ('det', 8), ('amod', 8), ('obj', 3), ('cc', 10), ('conj', 3), ('det', 12), ('obj', 10), ('advmod', 10), ('advmod', 10), ('case', 17), ('det', 17), ('obl', 10), ('punct', 10), ('advcl', 10), ('det', 26), ('amod', 26), ('cc', 23), ('conj', 21), ('cc', 25), ('conj', 21), ('obj', 19), ('xcomp', 19), ('punct', 33), ('cc', 33), ('det', 32), ('amod', 32), ('nsubj', 33), ('conj', 27), ('punct', 3)]"
106,Log in to your PayPal account .,"['VB', 'RP', 'IN', 'PRP$', 'NN', 'NN', '.']","[('root', 0), ('compound:prt', 1), ('case', 6), ('nmod:poss', 6), ('compound', 6), ('obl', 1), ('punct', 1)]","First , log into your PayPal account .","['RB', ',', 'VB', 'IN', 'PRP$', 'NN', 'NN', '.']","[('advmod', 3), ('punct', 3), ('root', 0), ('case', 7), ('nmod:poss', 7), ('compound', 7), ('obl', 3), ('punct', 3)]"
107,Sign on to your PayPal account .,"['VB', 'RP', 'IN', 'PRP$', 'NN', 'NN', '.']","[('root', 0), ('compound:prt', 1), ('case', 6), ('nmod:poss', 6), ('compound', 6), ('obl', 1), ('punct', 1)]","First , log into your PayPal account .","['RB', ',', 'VB', 'IN', 'PRP$', 'NN', 'NN', '.']","[('advmod', 3), ('punct', 3), ('root', 0), ('case', 7), ('nmod:poss', 7), ('compound', 7), ('obl', 3), ('punct', 3)]"
108,Log in to your PayPal account .,"['VB', 'RP', 'IN', 'PRP$', 'NN', 'NN', '.']","[('root', 0), ('compound:prt', 1), ('case', 6), ('nmod:poss', 6), ('compound', 6), ('obl', 1), ('punct', 1)]","First , log into your PayPal account .","['RB', ',', 'VB', 'IN', 'PRP$', 'NN', 'NN', '.']","[('advmod', 3), ('punct', 3), ('root', 0), ('case', 7), ('nmod:poss', 7), ('compound', 7), ('obl', 3), ('punct', 3)]"
109,Click on that .,"['VB', 'IN', 'DT', '.']","[('root', 0), ('case', 3), ('obl', 1), ('punct', 1)]",""" Click on that .","['``', 'VB', 'IN', 'DT', '.']","[('punct', 2), ('root', 0), ('case', 4), ('obl', 2), ('punct', 2)]"
110,Ask somebody that knows you & knows how to put this stuff together .,"['VB', 'NN', 'WDT', 'VBZ', 'PRP', 'CC', 'VBZ', 'WRB', 'TO', 'VB', 'DT', 'NN', 'RB', '.']","[('root', 0), ('obj', 1), ('nsubj', 4), ('acl:relcl', 2), ('obj', 4), ('cc', 7), ('conj', 1), ('advmod', 10), ('mark', 10), ('ccomp', 7), ('det', 12), ('obj', 10), ('advmod', 10), ('punct', 1)]","For the first time , ask somebody that knows how to put this stuff together .","['IN', 'DT', 'JJ', 'NN', ',', 'VB', 'NN', 'WDT', 'VBZ', 'WRB', 'TO', 'VB', 'DT', 'NN', 'RB', '.']","[('case', 4), ('det', 4), ('amod', 4), ('obl', 6), ('punct', 6), ('root', 0), ('obj', 6), ('nsubj', 9), ('acl:relcl', 7), ('advmod', 12), ('mark', 12), ('ccomp', 9), ('det', 14), ('obj', 12), ('advmod', 12), ('punct', 6)]"
111,Make sure the items you want to sell are clean and in good repair .,"['VB', 'JJ', 'DT', 'NNS', 'PRP', 'VBP', 'TO', 'VB', 'VBP', 'JJ', 'CC', 'IN', 'JJ', 'NN', '.']","[('root', 0), ('xcomp', 1), ('det', 4), ('nsubj', 10), ('nsubj', 6), ('acl:relcl', 4), ('mark', 8), ('xcomp', 6), ('cop', 10), ('ccomp', 1), ('cc', 14), ('case', 14), ('amod', 14), ('conj', 10), ('punct', 1)]",You should make sure the items you want to sell are clean and in good repair .,"['PRP', 'MD', 'VB', 'JJ', 'DT', 'NNS', 'PRP', 'VBP', 'TO', 'VB', 'VBP', 'JJ', 'CC', 'IN', 'JJ', 'NN', '.']","[('nsubj', 3), ('aux', 3), ('root', 0), ('xcomp', 3), ('det', 6), ('nsubj', 12), ('nsubj', 8), ('acl:relcl', 6), ('mark', 10), ('xcomp', 8), ('cop', 12), ('ccomp', 4), ('cc', 16), ('case', 16), ('amod', 16), ('conj', 12), ('punct', 3)]"
112,"See what costs if any , the state-funded center has .","['VB', 'WDT', 'VBZ', 'IN', 'DT', ',', 'DT', 'NN', 'HYPH', 'VBN', 'NN', 'VBZ', '.']","[('root', 0), ('nsubj', 3), ('ccomp', 1), ('mark', 5), ('nsubj', 12), ('punct', 12), ('det', 11), ('compound', 10), ('punct', 10), ('amod', 11), ('nsubj', 12), ('advcl', 3), ('punct', 1)]","You can see what costs if any , the state-funded center has .","['PRP', 'MD', 'VB', 'WDT', 'VBZ', 'IN', 'DT', ',', 'DT', 'NN', 'HYPH', 'VBN', 'NN', 'VBZ', '.']","[('nsubj', 3), ('aux', 3), ('root', 0), ('nsubj', 5), ('ccomp', 3), ('mark', 14), ('nsubj', 14), ('punct', 14), ('det', 13), ('compound', 12), ('punct', 12), ('amod', 13), ('nsubj', 14), ('advcl', 5), ('punct', 3)]"
113,"Obtain prerequisites Some localities have prerequisites ( first aid , CPR certificates , etc. ) for positions .","['VB', 'NNS']","[('root', 0), ('obj', 1)]","Some localities have prerequisites ( first aid , CPR certificates , etc. ) for positions .","['DT', 'NNS', 'VBP', 'NNS', '-LRB-', 'JJ', 'NN', ',', 'NN', 'NNS', ',', 'FW', '-RRB-', 'IN', 'NNS', '.']","[('det', 2), ('nsubj', 3), ('root', 0), ('obj', 3), ('punct', 7), ('amod', 7), ('appos', 4), ('punct', 10), ('compound', 10), ('conj', 7), ('punct', 12), ('conj', 4), ('punct', 12), ('case', 15), ('obl', 3), ('punct', 3)]"
114,"Select an island with good anchorage , because without this , it may be almost impossible to land on the island .","['VB', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'IN', 'IN', 'DT', ',', 'PRP', 'MD', 'VB', 'RB', 'JJ', 'TO', 'VB', 'IN', 'DT', 'NN', '.']","[('root', 0), ('det', 3), ('obj', 1), ('case', 6), ('amod', 6), ('nmod', 3), ('punct', 1), ('case', 10), ('fixed', 8), ('obl', 1), ('punct', 16), ('expl', 16), ('aux', 16), ('cop', 16), ('advmod', 16), ('parataxis', 1), ('mark', 18), ('csubj', 16), ('case', 21), ('det', 21), ('obl', 18), ('punct', 1)]","Anchorage : Select an island with good anchorage , because without this , it may be almost impossible to land on the island .","['NNP', ':', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', ',', 'IN', 'IN', 'DT', ',', 'PRP', 'MD', 'VB', 'RB', 'JJ', 'TO', 'VB', 'IN', 'DT', 'NN', '.']","[('nsubj', 3), ('punct', 3), ('root', 0), ('det', 5), ('obj', 3), ('case', 8), ('amod', 8), ('nmod', 5), ('punct', 3), ('case', 12), ('fixed', 10), ('obl', 3), ('punct', 18), ('expl', 18), ('aux', 18), ('cop', 18), ('advmod', 18), ('parataxis', 3), ('mark', 20), ('csubj', 18), ('case', 23), ('det', 23), ('obl', 20), ('punct', 3)]"
115,Look on each webpage to make sure that the university offers the courses that you are interested in .,"['VB', 'IN', 'DT', 'NN', 'TO', 'VB', 'JJ', 'IN', 'DT', 'NN', 'VBZ', 'DT', 'NNS', 'WDT', 'PRP', 'VBP', 'JJ', 'IN', '.']","[('root', 0), ('case', 4), ('det', 4), ('obl', 1), ('mark', 6), ('advcl', 1), ('xcomp', 6), ('mark', 11), ('det', 10), ('nsubj', 11), ('ccomp', 7), ('det', 13), ('obj', 11), ('obj', 17), ('nsubj', 17), ('cop', 17), ('acl:relcl', 13), ('case', 14), ('punct', 1)]",""" Look on each webpage to make sure that the university offers the courses that you are interested in .","['``', 'VB', 'IN', 'DT', 'NN', 'TO', 'VB', 'JJ', 'IN', 'DT', 'NN', 'VBZ', 'DT', 'NNS', 'WDT', 'PRP', 'VBP', 'JJ', 'IN', '.']","[('punct', 2), ('root', 0), ('case', 5), ('det', 5), ('obl', 2), ('mark', 7), ('advcl', 2), ('xcomp', 7), ('mark', 12), ('det', 11), ('nsubj', 12), ('ccomp', 8), ('det', 14), ('obj', 12), ('obj', 18), ('nsubj', 18), ('cop', 18), ('acl:relcl', 14), ('case', 15), ('punct', 2)]"
116,"Consider other factors in your search , such as the location of the university , the number of students that attend , and its world ranking .","['VB', 'JJ', 'NNS', 'IN', 'PRP$', 'NN', ',', 'JJ', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'DT', 'NN', 'IN', 'NNS', 'WDT', 'VBP', ',', 'CC', 'PRP', 'VBZ', 'NN', 'NN', '.']","[('root', 0), ('amod', 3), ('obj', 1), ('case', 6), ('nmod:poss', 6), ('nmod', 3), ('punct', 3), ('case', 11), ('fixed', 8), ('det', 11), ('nmod', 3), ('case', 14), ('det', 14), ('nmod', 11), ('punct', 14), ('det', 17), ('conj', 11), ('case', 19), ('nmod', 17), ('nsubj', 21), ('acl:relcl', 17), ('punct', 27), ('cc', 27), ('nsubj', 27), ('cop', 27), ('compound', 27), ('conj', 21), ('punct', 1)]","Once you have responded to your letter of offer and transferred your deposit , you will be sent an electronic confirmation of enrolment via email .","['IN', 'PRP', 'VBP', 'VBN', 'IN', 'PRP$', 'NN', 'IN', 'NN', 'CC', 'VBN', 'PRP$', 'NN', ',', 'PRP', 'MD', 'VB', 'VBN', 'DT', 'JJ', 'NN', 'IN', 'NN', 'IN', 'NN', '.']","[('mark', 4), ('nsubj', 4), ('aux', 4), ('advcl', 18), ('case', 7), ('nmod:poss', 7), ('obl', 4), ('case', 9), ('nmod', 7), ('cc', 11), ('conj', 4), ('nmod:poss', 13), ('obj', 11), ('punct', 18), ('nsubj:pass', 18), ('aux', 18), ('aux:pass', 18), ('root', 0), ('det', 21), ('amod', 21), ('obj', 18), ('case', 23), ('nmod', 21), ('case', 25), ('nmod', 21), ('punct', 18)]"
117,Know when not to use activated charcoal .,"['VB', 'WRB', 'RB', 'TO', 'VB', 'VBN', 'NN', '.']","[('root', 0), ('mark', 5), ('advmod', 5), ('mark', 5), ('advcl', 1), ('amod', 7), ('obj', 5), ('punct', 1)]",They may not advise you to use activated charcoal .,"['PRP', 'MD', 'RB', 'VB', 'PRP', 'TO', 'VB', 'VBN', 'NN', '.']","[('nsubj', 4), ('aux', 4), ('advmod', 4), ('root', 0), ('obj', 4), ('mark', 7), ('xcomp', 4), ('amod', 9), ('obj', 7), ('punct', 4)]"
118,Pick out a Cairn Terrier .,"['VB', 'RP', 'DT', 'NNP', 'NN', '.']","[('root', 0), ('compound:prt', 1), ('det', 5), ('compound', 5), ('obj', 1), ('punct', 1)]",How to Groom a Cairn Terrier,"['WRB', 'TO', 'VB', 'DT', 'NNP', 'NN']","[('advmod', 3), ('mark', 3), ('root', 0), ('det', 6), ('compound', 6), ('obj', 3)]"
