,Source,Target
385,walk tall ! This withholds a rush of confidence and will improve your body language as well by sending positive signals .,Stand tall ! This withholds a rush of confidence and will improve your body language as well by sending positive signals .
386,do not do sarcasm around your parents .,Do not use sarcasm around your parents .
387,Elevate Your Self Esteem,Improve Your Self Esteem
388,"Remeber that you ca n't expect to gain your parents trust back over a matter of weeks , it depends on what made you lose it in the first place .",Remember that you ca n't expect to gain your parents ' trust back over a matter of weeks ; it depends on what made you lose it in the first place .
389,Build a Bird Bath,Make a Bird Bath
390,Talk to your parents if they liked them because your mostly going to get a yes .,Ask your parents if they liked them because your mostly going to get a yes .
391,be carefull while handling the needle,Be careful while handling the needle .
392,Bring all the materials necessary to writing notes .,Bringing all the materials necessary to write notes .
393,Launch the Lyft app .,Open the Lyft app .
394,Have at least one of the games .,Own at least one of the games .
395,"Be conscious , skeptical and patient .","Be conscientious , skeptical , and patient ."
396,Be a drama kid in high school .,Be a drama student in high school .
397,Select an Ergonomic Office Chair,Choose an Ergonomic Office Chair
398,Determine what size container you want .,Decide what size container you want .
399,Get with your caterer to prepare for the amount of food needed for the reception .,Speak with your caterer to prepare for the amount of food needed for the reception .
400,Elevate Your Self Esteem,Improve Your Self Esteem
401,Soak your dry splint material in a deep bucket of cool water .,Place your dry splint material in a deep bucket of cool water .
402,"Dont always hand out with boys , you will start to cory thier ways .","Do n't always hang out with boys , you will start to cory their ways ."
403,Wear feminine clothes .,Buy feminine clothes .
404,Add some slim jeans .,Knit some slim jeans .
405,Have a pleasant conversation .,Make pleasant conversation .
406,"Burn it with a torch , lighter or match .","Light it with a torch , lighter or match ."
407,Leave a soft sponge and soft toothbrush handy for cleaning the cage and the snail .,Set aside a soft sponge and soft toothbrush handy for cleaning the cage and the snail .
408,inviting your friends with some snacks .,Invite your friends with some snacks .
409,"Accept that Bible manuscripts , translations to other languages and copies are generally like 99 % pure so that they are very highly dependable in detail .","Check that Bible manuscripts , translations to other languages and copies are generally like 99 % pure so that they are very highly dependable in detail ."
410,Accept the witness of all the people who saw Jesus alive after His Crucifixion .,Read the witness of all the people who saw Jesus alive after His Crucifixion .
411,Believe the biblical evidence .,Check the biblical evidence .
412,Realize that the Bible is archaeologically accurate too as to the sites of Israel .,Verify that the Bible is archaeologically accurate too as to the sites of Israel .
413,Believe that Jesus said he would rise from the dead ( John 2 : 19 - 21 ) .,Read that Jesus said he would rise from the dead ( John 2 : 19 - 21 ) .
414,Have a Berean Attitude : eager to study the Scriptures every day to find out if what they have been taught is Truth according to the scriptures ... Acts 17 : 10 - 12,Try a Berean Attitude : eager to study the Scriptures every day to find out if what they have been taught is Truth according to the scriptures ... Acts 17 : 10 - 12
415,Decide which ingredients you want to use .,Pick which ingredients you want to use .
416,Include your home address above the MSP 's address .,Place your home address above the MSP 's address .
417,Looking to try something new with your hair ?,Want to try something new with your hair ?
418,Put the 2 1x1 cylinders to the top of the hinge piece .,Add the two 1x1 cylinders to the top of the hinge piece .
419,Did you bored playing Arcade games on emulator ?,Did you get bored playing Arcade games on emulator ?
420,Find another source of iron .,Use another source of iron .
421,Do perfect people smoke ?,Do perfect people drink ?
422,Do perfect people do drugs ?,Do perfect people drink ?
423,Insert your diced potatoes and onions to your mixing boil and drizzle these with olive oil .,Add your diced potatoes and onions to your mixing boil and drizzle these with olive oil .
424,Tap your bank 's logo in the list if it appears .,Click your bank 's logo in the list if it appears .
425,Put grey eyeshadow all over your eyelid and put black on the outer eyelid .,Apply grey eyeshadow all over your eyelid and put black on the outer eyelid .
426,"Try : Make an appointment at some music stores , if need be , so you can try some flutes in person .","Make an appointment at some music stores , if need be , so you can try some flutes in person ."
427,"Speak up for yourself , but remember that you ca n't change someone 's beliefs or opinions .","Stand up for yourself , but remember that you ca n't change someone 's beliefs or opinions ."
428,"Do an upward block , inward block , extended outward block , downward block , back elbow , push down block , and back to a horse stance .","Perform an upward block , inward block , extended outward block , downward block , back elbow , push down block , and back to a horse stance ."
429,Obtain a high school diploma .,Get a high school diploma .
430,have a black t shirt designless is best but if not use a design like something intimidating in red,Get a black t shirt designless is best but if not use a design like something intimidating in red
431,DO : Open doors for your date .,Open doors for your date .
432,DO : Help your date to her chair before you sit down .,Help your date to her chair before you sit down .
433,DO : Ask questions about your date .,Ask questions about your date .
434,DO : Let your date know how much fun you had and offer a possible second date .,Let your date know how much fun you had and offer a possible second date .
435,Do n't tease the police officer .,Do n't insult the police officer .
436,Loosen the root ball .,Plant the root ball .
437,Do n't be scared to reply to people that appeal to you in interest / about me threads .,Do n't be afraid to reply to people that appeal to you in interest / about me threads .
438,Do the right hair .,Have the right hair .
439,Ride on someone 's coattails .,Use someone 's coattails .
440,Determine whether you will be living in one of the apartments or living offsite .,Decide whether you will be living in one of the apartments or living offsite .
441,Do n't file your nails too often .,Do n't polish your nails too often .
442,Cut your nails frequently with clippers .,Trim your nails frequently with clippers .
443,Use memorable imagery in your conversation .,Invoke memorable imagery in your conversation .
444,Make follow-up plans .,Ask for follow-up plans .
445,Use imagery to liven up the call .,Invoke imagery to liven up the call .
446,Ripping off dried skin on your lips will also inflame your lips and possibly result in bleeding .,Ripping off dried skin on your lips will also damage your lips and possibly result in bleeding .
447,Do n't ever swear .,Do n't ever yell !
448,Do n't ever swear .,Do n't ever beg .
449,Build the greenhouse ( step 1 ) .,Place the greenhouse ( step 1 ) .
450,Build the greenhouse ( step 2 ) .,Place the greenhouse ( step 2 ) .
451,Build the greenhouse ( step 3 ) .,Place the greenhouse ( step 3 ) .
452,"Admire the overall effect in the mirror , and redo the eyeliner if you think it 's necessary .","Check the overall effect in the mirror , and redo the eyeliner if you think it 's necessary ."
453,Get some craft glue ( the type that does n't dry clear ) and smooth it around the mouth in a bubbly effect .,Use craft glue ( the type that does n't dry clear ) and smooth it around the mouth in a bubbly effect .
454,Do n't overfeed junk food .,Do n't overdo junk food .
455,Fix your makeup ( do n't overdo it-just out on a little lip stick or lip gloss and eye shadow ) .,Do your makeup ( do n't overdo it - just out on a little lipstick or lip gloss and eye shadow ) .
456,Own Your Own Business,Start Your Own Business
457,Have proper air circulation .,Ensure proper air circulation .
458,Letting your computer update .,Let your computer update .
459,Opening software centre .,Open the software centre .
460,Have a balanced diet .,Consume a balanced diet .
461,Have the right tires .,Purchase the right tires .
462,"Shut off the water supply , then flush the toilet to empty the tank before you start working .","Turn off the water supply , then flush the toilet to empty the tank before you start working ."
463,Placed the cartons on top of the CD stack .,Lay the cartons on top of the CD stack .
464,Prepare the nail sticker .,Apply the nail sticker .
465,Do n't do drugs .,Do n't take drugs .
466,"Chanting the mantras and doing pujas : In jainism , the most important mantra is ' Navkar ' or ' Namokar ' mantra .","Chant the mantras and do pujas : In jainism , the most important mantra is ' Navkar ' or ' Namokar ' mantra ."
467,Use for text output .,Consider for text output .
468,Wrtie many high quality artiles on things you know alot about .,Write many high quality articles on things you know a lot about .
469,"Add dressing or plaster , ensuring that it is the right size .","Apply dressing or plaster , ensuring that it is the right size ."
470,Pull the teacher aside when they are n't doing anything and tell them what your problem is and they will do their best to help you .,Ask the teacher aside when they are n't doing anything and tell them what your problem is and they will do their best to help you .
471,Launder your bra correctly .,Put on your bra correctly .
472,Launder your bra correctly .,Put on your bra correctly .
473,Complete your Associate 's degree .,Get your Associate 's degree .
474,Transform all of the things you would normally be saying out loud into thoughts .,Form all of the things you would normally be saying out loud into thoughts .
475,"Resist fat-soluble toxins that can build up in farmed , pond-raised fish .","Avoid fat-soluble toxins that can build up in farmed , pond-raised fish ."
476,Thinking before you act is an introverted thing .,Thinking before you act is an introverted trait .
477,Act Like a Princess,Behave Like a Princess
478,Cope With Irritable Bowel Syndrome,Live with Irritable Bowel Syndrome
479,"Set the settings of the filter to 3 to 5 percent , depending on how fine you want your glitter effect to be .","Put the settings of the filter at 3 to 5 percent , depending on how fine you want your glitter effect to be ."
480,Sync Your Apple Watch with an iPhone,Pair Your Apple Watch with an iPhone
481,Add the rest of the ingredients .,Fold in the rest of the ingredients .
482,Realise and accept that life sometimes seems unfair .,Realize and accept that life sometimes seems not fair .
483,Give air plants a dose of fertilizer every four weeks .,Feed air plants a dose of fertilizer every four weeks .
484,Find a good vet .,Choose a good vet .
485,Establishing basic things and move to the finish .,"Establish basic things , and move to the finish ."
486,Find a water source .,Create a water source .
487,Create a water source .,Provide a water source .
488,Consider how connected you want to be .,Choose how connected you want to be .
489,"Take the cushions off of the couch place them on the floor , between or under the couch and table .","Grab the cushions off of the couch place them on the floor , between or under the couch and table ."
490,Build a blanket fort over your bed .,Set up a blanket fort over your bed .
491,Build a string and tarp fort .,Make a string and tarp fort .
492,"Ask , wikiHow 's community support person , if she has any objections into making the user a featured author .","wikiHow 's community support person , if she has any objections into making the user a featured author ."
493,"Do n't shoot at people , animals , or anything that would constitute vandalism .","Do n't aim at people , animals , or anything that would constitute vandalism ."
494,Are you gutting the entire transmission fluid ?,Are you replacing the entire transmission fluid ?
495,Know the layout of your abdominal muscles .,Learn the layout of your abdominal muscles .
496,"Use clothes and outfits to draw attention to the color of your eyes , not your eyeshadow .","Wear clothes and outfits to draw attention to the color of your eyes , not your eyeshadow ."
497,Train your agility and your speed .,Improve your agility and your speed .
498,get a mountain bike,Buy a mountain bike .
499,Have a mountain bike,Buy a mountain bike .
500,Avoiding injuring your eyes and the eyes of your combatant .,Avoid injuring your eyes or the eyes of your combatant .
501,Make your eyes open to the wild .,Keep your eyes open to the wild .
502,Eat tea with your doll .,have a tea with your doll .
503,Put on midnight blue eyeshadow .,Use midnight blue eyeshadow .
504,Apply a non-talc rice setting powder all over face or in needed areas ( see tips ) .,Add a non-talc rice setting powder all over face or in needed areas ( see tips ) .
505,"Have connections throughout the country , whether they be with other jockeys , trainers , owners , or racetrack officials .","Build connections throughout the country , whether they be with other jockeys , trainers , owners , or racetrack officials ."
506,Connect your iPod to your computer .,Attach your iPod to your computer .
507,Connect your iPod to your computer .,Attach your iPod to your computer .
508,Connect your iPod to your computer .,Attach your iPod to your computer .
509,Connect your iPod to your computer .,Attach your iPod to your computer .
510,Enjoy meaningful exchanges .,Have meaningful exchanges .
511,Elevate Your Self Esteem,Improve Your Self Esteem
512,"Select the "" System Preferences "" option .","Click the "" System Preferences "" option ."
513,Click the amount of Robux you want to buy .,Tap the amount of Robux you want to buy .
514,Get a real person to help you ; not just someone online .,Find a real person to help you ; not just someone online .
515,lets start off talking about your cardio workout .,Start off talking about your cardio workout .
516,Get him / her along when you need to purchase something .,Bring him / her along when you need to purchase something .
517,Make random acts of kindness .,Do random acts of kindness .
518,Pay with a debit card .,Buy with your debit card .
519,Have statement pieces that will set your wardrobe apart from your classmates .,Find statement pieces that will set your wardrobe apart from your classmates .
520,Jump like a wolf .,Walk like a wolf .
521,Have a Secret Santa .,Do a Secret Santa
522,meaning you do n't necessarily need to ask them for everything at every minute .,Means you do n't necessarily need to ask them for everything at every minute .
523,Do n't text and drive .,Do n't drink and drive .
524,Work interference if necessary .,Provide interference if necessary .
525,Put on the finishing touches .,Add the finishing touches .
526,Go fix every single one of them .,Fix every single one of them .
527,"Contact local schools , colleges or universities .","Check local schools , colleges or universities ."
528,"Select the "" Forwarding and POP / IMAP "" tab .","Click the "" Forwarding and POP / IMAP "" tab ."
529,Adding a moat around the castle .,Create a moat around the castle .
530,Attach the other end of the strings to top of the bridge on each side .,Glue the other end of the strings to top of the bridge on each side .
531,Keep your fingers away from the saw blade .,Direct your fingers away from the saw blade .
532,Do n't be scared to ask other people for help .,Do n't be afraid to ask other people for help .
533,Inform your patient they can remove the bandage later that day .,Tell your patient they can remove the bandage later that day .
534,Mounting the Remote Receiver,Mount the Remote Receiver .
535,Solder the remote receiver .,Mount the remote receiver .
536,Doing your homework and studying hard will lead to a cute girl who is knowledgeable and mature .,Doing your homework and studying hard will make you a cute girl who is knowledgeable and mature .
537,Find the page you want to block .,Go to the page you want to block .
538,Talk to the school board about implementing these programs .,Go to the school board about implementing these programs .
539,Open up your Skype account .,Login to your Skype account .
540,learning how to finger-knit old t-shirts make fun ropes and you can hide seeds / treats in them,"Learning how to finger-knit old t-shirts makes fun ropes , and you can hide seeds / treats in them ."
541,Hold your stacks side by side .,Place your stacks side by side .
542,Use catchy titles for your vlogs .,Plan catchy titles for your vlogs .
543,Put your hands close to the can on your first tries so you wo n't spill it everywhere .,Keep your hands close to the can on your first tries so you wo n't spill it everywhere .
544,Know the facts about retired police dogs .,Get the facts about retired police dogs .
545,Get the form notarized .,Have form notarized .
546,Be careful of false teachings .,Be wary of false teachings .
547,Beat up Cyrus for the second time .,Defeat Cyrus for the second time .
548,Thrash your friends with the best dragon move : Roar of Time !,Win your friends with the best dragon move : Roar of Time !
549,Stop doing any illegal activity .,Avoid doing any illegal activity .
550,Punch upward and into the face .,Strike upward and into the face .
551,Talk like a cat would if it could talk .,Speak like a cat would if it could talk .
552,Do n't be humble .,Do n't be vain .
553,Being cool is being you .,Being cool is being yourself .
554,Do n't be shy .,Do n't be needy .
555,Do n't be shy .,Do n't be needy .
556,Do n't be shy .,Do n't be needy .
557,Do n't be shy .,Do n't be needy .
558,Do n't be shy .,Do n't be needy .
559,Do n't be shy .,Do n't be needy .
560,Do n't be shy .,Do n't be needy .
561,Do n't be shy .,Do n't be needy .
562,Do n't be shy .,Do n't be needy .
563,Do n't be needy .,Do n't be white .
564,Do n't be white .,Do n't be needy .
565,Verify Your Number .,Type Your Number .
566,Shelve Books in a Library,Find Books in a Library
567,Have you ever likes the thought of helping out people ?,Have you ever liked the thought of helping people ?
568,"Begin a "" set "" ( a list of songs to be played ) before setting foot inside a DJ booth .","Plan a "" set "" ( a list of songs to be played ) before setting foot inside a DJ booth ."
569,Do n't be shallow .,Do n't be you .
570,Be prepared for technical questions about your abilities as an IT worker .,Be ready for technical questions about your abilities as an IT worker .
571,Budget your time wisely .,Manage your time wisely .
572,Do n't have milk products .,Do n't consume milk products .
573,Maintain eye contact to let the other person know you 're engaged .,Make eye contact to let the other person know you 're engaged .
574,Buy items that contain minimal packaging that can easily be recycled .,Choose items that contain minimal packaging that can easily be recycled .
575,Go to the blocked video .,Select the blocked video .
576,Go to the blocked video .,Select the blocked video .
577,Sanding original paint off .,Sand the original paint off .
578,Removing dings and dents by bogging and priming .,Remove dings and dents by boggling and priming .
579,Go to the court hearing .,Attend the court hearing .
580,"Think long necklaces , dangling earrings , and chunky rings .","Wear long necklaces , dangling earrings , and chunky rings ."
581,Do not talk to anyone .,Do not speak to anyone .
582,Do n't be scared to try something new .,Do n't be afraid to try something new .
583,Are you crazy and loud at heart ?,Are you weird and loud at heart ?
584,Following this step-by-step guide will save you from identity theft and keep your card secure .,Following this step-by-step guide will help save you from identity theft and keep your card secure .
585,Wail till bedtime to sleep .,Wait until bedtime to sleep .
586,Suck your knees up as you reach the end of the rail .,Bend your knees up as you reach the end of the rail .
587,chose the right party or you will never be elected,Choose the right party or you will never be elected .
588,Stop the ball with the bottom or side of your foot .,Stopping the ball with the bottom or side of your foot .
589,"Realize that "" mentally retarded "" is no longer an accepted diagnostic term .","Recognize that "" mentally retarded "" is no longer an accepted diagnostic term ."
590,Getting plenty of rest every night,Get plenty of rest every night
591,Do n't gossip or tread on other people 's territory .,Do n't bully or tread on other people 's territory .
592,Keep to-do lists .,Create to-do lists .
593,"Realize the input you would like to make , and find the right time to do so .","Plan the input you would like to make , and find the right time to do so ."
594,Cancelling more than five minutes after ordering your Uber when your driver is on schedule will result in a cancellation fee .,Canceling more than 2 - 5 minutes after ordering your Uber when your driver is on schedule will result in a cancellation fee .
595,Have good hygiene .,Practice good hygiene .
596,Slam the bathroom door open when his girlfriend 's walking by .,Hurl the bathroom door open when his girlfriend 's walking by .
597,Review the available products .,Peruse the available products .
598,"Look for firm , healthy udders and a full set of teeth .","Check for firm , healthy udders and a full set of teeth ."
599,"Make-up - keep it sexy , but natural ! Put some concealer over your spots , and under your eyes , and then some setting powder .","Wear Make-up - keep it sexy , but natural ! Put some concealer over your spots , and under your eyes , and then some setting powder ."
600,Do not be scared of the ball or the other team .,Do not be afraid of the ball or the other team .
601,"Do n't be something you 're not , because in the end it all comes down to real life .","Do n't be someone you 're not , because in the end it all comes down to real life ."
602,Consider an certificate or diploma program .,Choose a certificate or diploma program .
603,Having a college degree will give candidates get hired and have a higher starting salary .,Having a college degree will help candidates get hired and have a higher starting salary .
604,Know how to put on a life vest .,Learn how to put on a life vest .
605,Make clear navigation .,Provide clear navigation .
606,Set up stationary cameras on tripods or mount them to the wall .,Mount stationary cameras on tripods or mount them to the wall .
607,Set up your equipment in areas that are known for high activity to increase the chance that you 'll see something paranormal .,Place your equipment in areas that are known for high activity to increase the chance that you 'll see something paranormal .
608,"Work out what kind of writing you want to do : novel , article ?","Figure out what kind of writing you want to do : novel , article ?"
609,"Make one side "" Homework "" and make the other "" Corrected "" .","Label one side "" Homework "" and label the other "" Corrected "" ."
610,Pick a good role model to follow .,Choose a good role model to follow .
611,Give your baby a pacifier .,Offer your baby a pacifier .
612,rememeber that its not easy for them to move into a new environment and to automatically live to respect you,Remember that it 's not easy for them to move into a new environment and to automatically live to respect you
613,Pick a superhero name .,Create a superhero name .
614,Earn an associate 's degree in cardiovascular technology .,Obtain an associate 's degree in cardiovascular technology .
615,"measuring about an inch , and crease the fold well .","Measure about an inch , and crease the fold well ."
616,Make sure your shopping cart does n't contain any of the proscribed articles .,Ensure your shopping cart does n't contain any of the proscribed articles .
617,Get a Bachelor 's Degree in urban design .,Earn a Bachelor 's degree in urban design .
618,Work out when his schedule can accommodate your calls or presence .,Find out when his schedule can accommodate your calls or presence .
619,"viewing the product over and over , without buying .","View the product over and over , without buying ."
620,Apply now a new effect by applying different kinds of brushes on the document .,Employ a new effect by applying different kinds of brushes on the document .
621,"Go to your doctor or health care provider whenever you have a need , but also to find ways to be more self-sufficient in improving your health .","See your doctor or health care provider whenever you have a need , but also to find ways to be more self-sufficient in improving your health ."
622,Take order of your life .,Create order in your life .
623,Apply for a V-1 visa if you 're married to a permanent American resident .,Opt for a V-1 visa if you 're married to a permanent American resident .
624,Click a delivery method .,Select a delivery method .
625,do not permission .,do not get permission .
626,Establish banking and credit card accounts for your business .,Obtain banking and credit card accounts for your business .
627,"Enter the relevant Australian area / city code , or use "" 04 "" if you are calling a mobile .","Add the relevant Australian area / city code , or use "" 04 "" if you are calling a mobile ."
628,Submitting an online application to apply for exchange .,Submit an online application to apply for exchange .
629,Be carful if you take him / her outside he might get lost .,Be careful if you take him / her outside he might get lost . :(
630,Do not yell or shout at your dog before a third person .,Do not hit or shout at your dog before a third person .
631,Know the speed of light .,Define the speed of light .
632,Do n't turn up earlier .,Do n't show up earlier .
633,Be wary when shopping at big-box stores .,Be careful when shopping at big-box stores .
634,Declare how your business is structured .,Explain how your business is structured .
635,Give the DBA form to the county clerk 's office .,Submit the DBA form to the county clerk 's office .
636,Build Your Own Business,Start Your Own Business
637,Dont fake her out and start MAKING OUT when shes just trying to watch the goddamn movie .,Dont freak her out and start MAKING OUT when shes just trying to watch the goddamn movie
